claim_id,manuscript_line,claim_text,claim_scope,evidence_class,mapping_status,matched_inferential_rows,matched_planned_rows,report_family,environment_or_severity,contrast_name,metric,report_holm_paired_t_p,report_holm_wilcoxon_p,source_file,source_row,source_kind,reason_if_unresolved
abstract_strong_neural_null.01,37,Double DQN and Dueling Double DQN do not differ significantly from the \dqncomparator{} in the application-shift task.,primary_confirmatory,confirmatory,mapped,1,1,strong_baselines.planned,ApplicationNavigation-deployment-goal-shift,double_dqn_vs_validated_dqn,return_auc,0.7227054749918411,0.617041539400816,results/strong_baselines/planned_contrasts.csv,2,planned,
abstract_strong_neural_null.02,37,Double DQN and Dueling Double DQN do not differ significantly from the \dqncomparator{} in the application-shift task.,primary_confirmatory,confirmatory,mapped,1,1,strong_baselines.planned,ApplicationNavigation-deployment-goal-shift,dueling_double_dqn_vs_validated_dqn,return_auc,0.7227054749918411,0.761065473780036,results/strong_baselines/planned_contrasts.csv,3,planned,
abstract_approximate_support.01,37,"Approximate support improves return AUC over exact count gating by 0.422 for kNN support and 0.766 for feature-distance support after Holm correction, but both remain worse than tabular Q-learning.",primary_confirmatory,confirmatory,mapped,1,1,approximate_support.planned,ApplicationNavigation-deployment-goal-shift,knn_vs_exact_count,return_auc,0.016406923351572,0.0208498518913984,results/approx_support/planned_contrasts.csv,2,planned,
abstract_approximate_support.02,37,"Approximate support improves return AUC over exact count gating by 0.422 for kNN support and 0.766 for feature-distance support after Holm correction, but both remain worse than tabular Q-learning.",primary_confirmatory,confirmatory,mapped,1,1,approximate_support.planned,ApplicationNavigation-deployment-goal-shift,feature_distance_vs_exact_count,return_auc,0.0041547241200469,0.0043755508959293,results/approx_support/planned_contrasts.csv,3,planned,
abstract_approximate_support.03,37,"Approximate support improves return AUC over exact count gating by 0.422 for kNN support and 0.766 for feature-distance support after Holm correction, but both remain worse than tabular Q-learning.",primary_confirmatory,confirmatory,mapped,1,1,approximate_support.planned,ApplicationNavigation-deployment-goal-shift,knn_vs_tabular,return_auc,9.356662884330322e-10,7.450580596923828e-09,results/approx_support/planned_contrasts.csv,4,planned,
abstract_approximate_support.04,37,"Approximate support improves return AUC over exact count gating by 0.422 for kNN support and 0.766 for feature-distance support after Holm correction, but both remain worse than tabular Q-learning.",primary_confirmatory,confirmatory,mapped,1,1,approximate_support.planned,ApplicationNavigation-deployment-goal-shift,feature_distance_vs_tabular,return_auc,2.832740095514615e-09,2.7939677238464355e-08,results/approx_support/planned_contrasts.csv,5,planned,
abstract_stationary_reliability_null.01,37,A relative-reliability gate still does not beat count gating on three stationary compact tasks.,primary_confirmatory,confirmatory,mapped,1,1,fuzzy_reliability_stationary.planned,CliffWalking-confirmatory,fuzzy_reliability_vs_count,return_auc,0.9425394691671228,0.8799335323274136,results/fuzzy_reliability_confirmatory/planned_contrasts.csv,2,planned,
abstract_stationary_reliability_null.02,37,A relative-reliability gate still does not beat count gating on three stationary compact tasks.,primary_confirmatory,confirmatory,mapped,1,1,fuzzy_reliability_stationary.planned,FourRooms-9-support-shift-confirmatory,fuzzy_reliability_vs_count,return_auc,0.9425394691671228,0.8799335323274136,results/fuzzy_reliability_confirmatory/planned_contrasts.csv,3,planned,
abstract_stationary_reliability_null.03,37,A relative-reliability gate still does not beat count gating on three stationary compact tasks.,primary_confirmatory,confirmatory,mapped,1,1,fuzzy_reliability_stationary.planned,FrozenLake-4x4-slippery-confirmatory,fuzzy_reliability_vs_count,return_auc,0.643248280377755,0.4674758579455045,results/fuzzy_reliability_confirmatory/planned_contrasts.csv,4,planned,
abstract_shift_gain.01,37,"Under a \textcolor{red}{mechanism-targeted recurring-state shift whose context set, switch step, two post-shift boundaries, primary contrast, and final seed range were frozen before seeds 1400--1429 were executed}, its fuzzy version improves AUC over count gating by 0.087 and 0.059, with all 30 paired seeds favoring it at both shift severities.",primary_confirmatory,confirmatory,mapped,1,1,fuzzy_reliability_shift.planned,ReliabilityShift-boundary-020-confirmatory,fuzzy_shift_vs_count,return_auc,2.0907313977497543e-34,3.462252789839457e-06,results/fuzzy_reliability_shift_confirmatory/planned_contrasts.csv,2,planned,
abstract_shift_gain.02,37,"Under a \textcolor{red}{mechanism-targeted recurring-state shift whose context set, switch step, two post-shift boundaries, primary contrast, and final seed range were frozen before seeds 1400--1429 were executed}, its fuzzy version improves AUC over count gating by 0.087 and 0.059, with all 30 paired seeds favoring it at both shift severities.",primary_confirmatory,confirmatory,mapped,1,1,fuzzy_reliability_shift.planned,ReliabilityShift-boundary-030-confirmatory,fuzzy_shift_vs_count,return_auc,1.6840656980220476e-29,3.462252789839457e-06,results/fuzzy_reliability_shift_confirmatory/planned_contrasts.csv,3,planned,
abstract_crisp_secondary.01,37,"The same-input crisp controller is nevertheless better than the fuzzy controller by 0.008 and 0.006, so the supported contribution is the relative-reliability signal rather than uniquely necessary fuzzy inference.",exploratory_secondary,exploratory,mapped,1,1,fuzzy_reliability_shift.reported_supplemental,ReliabilityShift-boundary-020-confirmatory,fuzzy_shift_vs_crisp,return_auc,1.7734396326631494e-08,1.033456969645844e-05,results/fuzzy_reliability_shift_confirmatory/reported/planned_contrasts.csv,6,planned,
abstract_crisp_secondary.02,37,"The same-input crisp controller is nevertheless better than the fuzzy controller by 0.008 and 0.006, so the supported contribution is the relative-reliability signal rather than uniquely necessary fuzzy inference.",exploratory_secondary,exploratory,mapped,1,1,fuzzy_reliability_shift.reported_supplemental,ReliabilityShift-boundary-030-confirmatory,fuzzy_shift_vs_crisp,return_auc,1.7734396326631494e-08,1.033456969645844e-05,results/fuzzy_reliability_shift_confirmatory/reported/planned_contrasts.csv,7,planned,
abstract_sensorized_knn_null.01,37,The kNN gate detects approximate support on 0.211 of decisions but still has zero waypoint success and no significant risk-score advantage over DQN or fuzzy reliability.,secondary_confirmatory,confirmatory,mapped,1,1,uav_sensorized_motor_validation.planned,Crazyflie-sensorized-motor-control-shift,knn_support_vs_dqn,risk_adjusted_score,0.6684441201616226,0.8216387704014778,results/uav_sensorized_motor_validation/planned_contrasts.csv,5,planned,
abstract_sensorized_knn_null.02,37,The kNN gate detects approximate support on 0.211 of decisions but still has zero waypoint success and no significant risk-score advantage over DQN or fuzzy reliability.,secondary_confirmatory,confirmatory,mapped,1,1,uav_sensorized_motor_validation.planned,Crazyflie-sensorized-motor-control-shift,knn_support_vs_fuzzy_reliability,risk_adjusted_score,1.0,1.0,results/uav_sensorized_motor_validation/planned_contrasts.csv,6,planned,
