estimator,memory_size,dimension,status,build_time_seconds,median_query_latency_seconds,p95_query_latency_seconds,memory_bytes,serialized_size_bytes,observed_query_scaling_exponent,observed_memory_scaling_exponent,expected_asymptotic_time
brute_force_euclidean_knn,100,4,completed,8.3e-06,3e-05,5.7249999999999996e-05,1600,1746,0.8106782491528021,0.9999999999999998,"build O(n*d), query O(n*d)"
ckdtree_indexed_knn,100,4,completed,0.000116,4.92e-05,8.012999999999997e-05,4152,5507,0.07265137280166725,0.9949975257301931,"build O(n*log(n)*d), average query O(log(n)*d + k); worst-case O(n*d)"
exact_hash_lookup,100,4,completed,0.0001064,1.3e-06,1.7049999999999998e-06,12388,2116,0.09522612355564498,1.0027721630395283,"build O(n*d), expected query O(d) for state-byte hashing; worst-case hash lookup O(n)"
frozen_embedding_ckdtree_knn,100,4,completed,0.0123408,0.00030055,0.0004906099999999998,73152,74956,0.2421952865933591,0.9581312324505948,"build O(n*network_cost + n*log(n)*e), query O(network_cost + log(n)*e + k), worst-case indexed search O(n*e)"
regularized_gaussian_density,100,4,completed,0.0002536,4.15e-05,4.961e-05,3360,3636,0.8378761291402063,0.9934548276549645,"build O(n*d^2 + d^3), query O(n*d + d^2)"
regularized_mahalanobis,100,4,completed,0.0003244,3.555e-05,7.391499999999997e-05,3360,3603,0.8482138394569411,0.9934548276549645,"build O(n*d^2 + d^3), query O(n*d + d^2) after whitening"
brute_force_euclidean_knn,1000,4,completed,1.26e-05,5.635e-05,0.00011488999999999998,16000,16147,0.8106782491528021,0.9999999999999998,"build O(n*d), query O(n*d)"
ckdtree_indexed_knn,1000,4,completed,0.0003502,5.13e-05,8.789999999999995e-05,40152,49574,0.07265137280166725,0.9949975257301931,"build O(n*log(n)*d), average query O(log(n)*d + k); worst-case O(n*d)"
exact_hash_lookup,1000,4,completed,0.0005145,1.7e-06,2.6049999999999996e-06,113952,21018,0.09522612355564498,1.0027721630395283,"build O(n*d), expected query O(d) for state-byte hashing; worst-case hash lookup O(n)"
frozen_embedding_ckdtree_knn,1000,4,completed,0.0155329,0.0009782,0.00142718,555552,565424,0.2421952865933591,0.9581312324505948,"build O(n*network_cost + n*log(n)*e), query O(network_cost + log(n)*e + k), worst-case indexed search O(n*e)"
regularized_gaussian_density,1000,4,completed,0.0004487,7.89e-05,0.00012100999999999998,32160,32437,0.8378761291402063,0.9934548276549645,"build O(n*d^2 + d^3), query O(n*d + d^2)"
regularized_mahalanobis,1000,4,completed,0.0004287,6.185e-05,8.855e-05,32160,32404,0.8482138394569411,0.9934548276549645,"build O(n*d^2 + d^3), query O(n*d + d^2) after whitening"
brute_force_euclidean_knn,10000,4,completed,5.96e-05,0.00035395,0.0004906599999999999,160000,160156,0.8106782491528021,0.9999999999999998,"build O(n*d), query O(n*d)"
ckdtree_indexed_knn,10000,4,completed,0.0054787,6.49e-05,0.0001052,400152,547843,0.07265137280166725,0.9949975257301931,"build O(n*log(n)*d), average query O(log(n)*d + k); worst-case O(n*d)"
exact_hash_lookup,10000,4,completed,0.0057956,1.7e-06,2.5e-06,1064992,210063,0.09522612355564498,1.0027721630395283,"build O(n*d), expected query O(d) for state-byte hashing; worst-case hash lookup O(n)"
frozen_embedding_ckdtree_knn,10000,4,completed,0.0766133,0.0014461,0.0022691499999999997,5379552,5526541,0.2421952865933591,0.9581312324505948,"build O(n*network_cost + n*log(n)*e), query O(network_cost + log(n)*e + k), worst-case indexed search O(n*e)"
regularized_gaussian_density,10000,4,completed,0.0026952,0.0007311500000000001,0.001019795,320160,320446,0.8378761291402063,0.9934548276549645,"build O(n*d^2 + d^3), query O(n*d + d^2)"
regularized_mahalanobis,10000,4,completed,0.0020595,0.0004826,0.0007060149999999999,320160,320413,0.8482138394569411,0.9934548276549645,"build O(n*d^2 + d^3), query O(n*d + d^2) after whitening"
brute_force_euclidean_knn,100000,4,completed,0.0016321,0.008191549999999999,0.009780005,1600000,1600158,0.8106782491528021,0.9999999999999998,"build O(n*d), query O(n*d)"
ckdtree_indexed_knn,100000,4,completed,0.1157569,7.945e-05,0.000115775,4000152,5180041,0.07265137280166725,0.9949975257301931,"build O(n*log(n)*d), average query O(log(n)*d + k); worst-case O(n*d)"
exact_hash_lookup,100000,4,completed,0.0885526,2.7e-06,5.3e-06,12942960,2100504,0.09522612355564498,1.0027721630395283,"build O(n*d), expected query O(d) for state-byte hashing; worst-case hash lookup O(n)"
frozen_embedding_ckdtree_knn,100000,4,completed,0.8940572,0.00169295,0.0030960349999999996,53619552,54812853,0.2421952865933591,0.9581312324505948,"build O(n*network_cost + n*log(n)*e), query O(network_cost + log(n)*e + k), worst-case indexed search O(n*e)"
regularized_gaussian_density,100000,4,completed,0.0320471,0.012264750000000001,0.0129334,3200160,3200448,0.8378761291402063,0.9934548276549645,"build O(n*d^2 + d^3), query O(n*d + d^2)"
regularized_mahalanobis,100000,4,completed,0.030629,0.0120449,0.013937789999999999,3200160,3200415,0.8482138394569411,0.9934548276549645,"build O(n*d^2 + d^3), query O(n*d + d^2) after whitening"
brute_force_euclidean_knn,100,22,completed,7.2e-06,3.2149999999999995e-05,6.5785e-05,8800,8946,1.0005737611279297,0.9999999999999998,"build O(n*d), query O(n*d)"
ckdtree_indexed_knn,100,22,completed,0.0001059,5.385e-05,7.4575e-05,18840,20195,1.0185358576916737,0.9968308479269224,"build O(n*log(n)*d), average query O(log(n)*d + k); worst-case O(n*d)"
exact_hash_lookup,100,22,completed,8.85e-05,1.4e-06,2.1049999999999993e-06,19588,9316,0.08548406164523004,1.0018635005157008,"build O(n*d), expected query O(d) for state-byte hashing; worst-case hash lookup O(n)"
frozen_embedding_ckdtree_knn,100,22,completed,0.0109739,0.0003241,0.0005780799999999998,84960,86764,0.8333988135164455,0.9549383744833266,"build O(n*network_cost + n*log(n)*e), query O(network_cost + log(n)*e + k), worst-case indexed search O(n*e)"
regularized_gaussian_density,100,22,completed,0.0006397,4.49e-05,6.5575e-05,21648,21924,1.0614945236316542,0.9721706391063966,"build O(n*d^2 + d^3), query O(n*d + d^2)"
regularized_mahalanobis,100,22,completed,0.0008048,4.045e-05,6.129999999999999e-05,21648,21891,1.0723178503103763,0.9721706391063966,"build O(n*d^2 + d^3), query O(n*d + d^2) after whitening"
brute_force_euclidean_knn,1000,22,completed,2.58e-05,6.735e-05,0.00011699499999999996,88000,88156,1.0005737611279297,0.9999999999999998,"build O(n*d), query O(n*d)"
ckdtree_indexed_knn,1000,22,completed,0.0008973,8.845000000000001e-05,0.00016852499999999996,184440,193871,1.0185358576916737,0.9968308479269224,"build O(n*log(n)*d), average query O(log(n)*d + k); worst-case O(n*d)"
exact_hash_lookup,1000,22,completed,0.0007162,1.7e-06,2.4049999999999994e-06,185952,93027,0.08548406164523004,1.0018635005157008,"build O(n*d), expected query O(d) for state-byte hashing; worst-case hash lookup O(n)"
frozen_embedding_ckdtree_knn,1000,22,completed,0.0131491,0.0013922499999999998,0.00187745,632160,644633,0.8333988135164455,0.9549383744833266,"build O(n*network_cost + n*log(n)*e), query O(network_cost + log(n)*e + k), worst-case indexed search O(n*e)"
regularized_gaussian_density,1000,22,completed,0.0015267,0.00010674999999999999,0.00014685499999999985,180048,180334,1.0614945236316542,0.9721706391063966,"build O(n*d^2 + d^3), query O(n*d + d^2)"
regularized_mahalanobis,1000,22,completed,0.0007296,8.31e-05,9.8725e-05,180048,180301,1.0723178503103763,0.9721706391063966,"build O(n*d^2 + d^3), query O(n*d + d^2) after whitening"
brute_force_euclidean_knn,10000,22,completed,0.0005745,0.0017702500000000001,0.00226975,880000,880156,1.0005737611279297,0.9999999999999998,"build O(n*d), query O(n*d)"
ckdtree_indexed_knn,10000,22,completed,0.0197169,0.00377595,0.004894625,1840440,1988131,1.0185358576916737,0.9968308479269224,"build O(n*log(n)*d), average query O(log(n)*d + k); worst-case O(n*d)"
exact_hash_lookup,10000,22,completed,0.0077998,1.9e-06,3.2099999999999993e-06,1784992,930162,0.08548406164523004,1.0018635005157008,"build O(n*d), expected query O(d) for state-byte hashing; worst-case hash lookup O(n)"
frozen_embedding_ckdtree_knn,10000,22,completed,0.0756783,0.00908255,0.010885635000000001,6104160,6248701,0.8333988135164455,0.9549383744833266,"build O(n*network_cost + n*log(n)*e), query O(network_cost + log(n)*e + k), worst-case indexed search O(n*e)"
regularized_gaussian_density,10000,22,completed,0.0193508,0.0048943,0.00585459,1764048,1764334,1.0614945236316542,0.9721706391063966,"build O(n*d^2 + d^3), query O(n*d + d^2)"
regularized_mahalanobis,10000,22,completed,0.0176415,0.0042248500000000005,0.00528831,1764048,1764301,1.0723178503103763,0.9721706391063966,"build O(n*d^2 + d^3), query O(n*d + d^2) after whitening"
brute_force_euclidean_knn,100000,22,completed,0.0070762,0.02339885,0.025909019999999998,8800000,8800158,1.0005737611279297,0.9999999999999998,"build O(n*d), query O(n*d)"
ckdtree_indexed_knn,100000,22,completed,0.3632005,0.038270349999999995,0.041820794999999994,18400440,19580329,1.0185358576916737,0.9968308479269224,"build O(n*log(n)*d), average query O(log(n)*d + k); worst-case O(n*d)"
exact_hash_lookup,100000,22,completed,0.1192796,2.6e-06,4.4e-06,20142960,9301485,0.08548406164523004,1.0018635005157008,"build O(n*d), expected query O(d) for state-byte hashing; worst-case hash lookup O(n)"
frozen_embedding_ckdtree_knn,100000,22,completed,0.9297247,0.10403470000000001,0.13880559999999997,60824160,62039205,0.8333988135164455,0.9549383744833266,"build O(n*network_cost + n*log(n)*e), query O(network_cost + log(n)*e + k), worst-case indexed search O(n*e)"
regularized_gaussian_density,100000,22,completed,0.1836573,0.04332985,0.05168763999999999,17604048,17604336,1.0614945236316542,0.9721706391063966,"build O(n*d^2 + d^3), query O(n*d + d^2)"
regularized_mahalanobis,100000,22,completed,0.1573231,0.04098025,0.044253100000000004,17604048,17604303,1.0723178503103763,0.9721706391063966,"build O(n*d^2 + d^3), query O(n*d + d^2) after whitening"
brute_force_euclidean_knn,100,64,completed,2.61e-05,3.605e-05,5.670999999999998e-05,25600,25746,1.1263292880531728,0.9999999999999996,"build O(n*d), query O(n*d)"
ckdtree_indexed_knn,100,64,completed,0.0001393,5.945e-05,9.216999999999988e-05,53112,54467,1.1091821776823059,0.9971625057185957,"build O(n*log(n)*d), average query O(log(n)*d + k); worst-case O(n*d)"
exact_hash_lookup,100,64,completed,7.57e-05,1.7e-06,2.7e-06,36388,26416,0.1413082898372881,1.0010478376587693,"build O(n*d), expected query O(d) for state-byte hashing; worst-case hash lookup O(n)"
frozen_embedding_ckdtree_knn,100,64,completed,0.0108592,0.00031785,0.0006354949999999998,112512,114316,0.8219556665477639,0.9499412150424845,"build O(n*network_cost + n*log(n)*e), query O(network_cost + log(n)*e + k), worst-case indexed search O(n*e)"
